County,long,lat,group,order,State,sregion
Gila,-110.4376144,33.24874115,71,3386,Arizona,Tucson
Gila,-111.4746704,34.05661011,71,3433,Arizona,Tucson
Gila,-110.5063705,33.1914444,71,3391,Arizona,Tucson
Gila,-111.4689407,34.43476486,71,3456,Arizona,Tucson
Gila,-111.4345627,34.44049454,71,3462,Arizona,Tucson
Gila,-111.3085098,33.68991852,71,3416,Arizona,Tucson
Gila,-111.4574814,34.44049454,71,3461,Arizona,Tucson
Gila,-111.1824646,34.40611649,71,3490,Arizona,Tucson
Gila,-111.3658066,34.43476486,71,3480,Arizona,Tucson
Gila,-110.5522079,33.16279984,71,3392,Arizona,Tucson
Gila,-110.4605331,33.20290375,71,3389,Arizona,Tucson
Gila,-111.0564117,33.50084305,71,3406,Arizona,Tucson
Gila,-111.6522827,34.37746811,71,3445,Arizona,Tucson
Gila,-111.4689407,34.09671783,71,3435,Arizona,Tucson
Gila,-111.4632111,34.07379913,71,3434,Arizona,Tucson
Gila,-110.2370834,33.47219467,71,3379,Arizona,Tucson
Gila,-110.4032364,33.40343857,71,3383,Arizona,Tucson
Gila,-110.7126312,33.08258438,71,3397,Arizona,Tucson
Gila,-110.4834518,33.1914444,71,3390,Arizona,Tucson
Gila,-111.4918518,34.43476486,71,3454,Arizona,Tucson
Gila,-111.4632111,34.41757584,71,3459,Arizona,Tucson
Gila,-111.2111053,34.41184616,71,3488,Arizona,Tucson
Gila,-111.199646,34.40611649,71,3489,Arizona,Tucson
Gila,-111.1709976,34.38892746,71,3491,Arizona,Tucson
Gila,-110.9704666,34.32017136,71,3507,Arizona,Tucson
Gila,-110.4204254,33.19717407,71,3388,Arizona,Tucson
Gila,-111.5606155,34.44049454,71,3449,Arizona,Tucson
Gila,-110.368866,33.40343857,71,3382,Arizona,Tucson
Gila,-110.3516693,33.43781662,71,3381,Arizona,Tucson
Gila,-110.0136261,33.58678436,71,3377,Arizona,Tucson
Gila,-111.2684021,33.63835526,71,3415,Arizona,Tucson
Gila,-111.4574814,34.42903519,71,3460,Arizona,Tucson
Gila,-110.8444138,34.30871201,71,3515,Arizona,Tucson
Gila,-111.2111053,33.64981079,71,3411,Arizona,Tucson
Gila,-110.7756653,34.26860428,71,3522,Arizona,Tucson
Gila,-111.1652679,33.67845917,71,3408,Arizona,Tucson
Gila,-110.8215027,34.30871201,71,3517,Arizona,Tucson
Gila,-111.3371582,34.41757584,71,3482,Arizona,Tucson
Gila,-111.5319595,34.4233017,71,3451,Arizona,Tucson
Gila,-110.8329544,34.2857933,71,3512,Arizona,Tucson
Gila,-111.4402924,34.02223587,71,3431,Arizona,Tucson
Gila,-111.4460144,33.92483139,71,3427,Arizona,Tucson
Gila,-110.4548035,33.28884506,71,3385,Arizona,Tucson
Gila,-111.394455,33.85034561,71,3424,Arizona,Tucson
Gila,-111.2454834,33.62116241,71,3414,Arizona,Tucson
Gila,-111.2111053,33.63262177,71,3412,Arizona,Tucson
Gila,-110.7985764,34.30298233,71,3518,Arizona,Tucson
Gila,-111.1881943,33.66699982,71,3410,Arizona,Tucson
Gila,-110.752739,34.2628746,71,3523,Arizona,Tucson
Gila,-111.2569427,34.44049454,71,3486,Arizona,Tucson
Gila,-111.2855911,34.44049454,71,3485,Arizona,Tucson
Gila,-110.981926,34.33736038,71,3506,Arizona,Tucson
Gila,-111.0220337,34.35454941,71,3505,Arizona,Tucson
Gila,-111.0449524,33.46073532,71,3405,Arizona,Tucson
Gila,-111.7095795,34.15401077,71,3438,Arizona,Tucson
Gila,-110.8444138,34.25714493,71,3510,Arizona,Tucson
Gila,-111.4059143,33.91337204,71,3426,Arizona,Tucson
Gila,-111.5033188,34.42903519,71,3453,Arizona,Tucson
Gila,-111.394455,33.88472366,71,3425,Arizona,Tucson
Gila,-110.752739,34.2628746,71,3374,Arizona,Tucson
Gila,-111.228302,33.61543655,71,3413,Arizona,Tucson
Gila,-111.1709976,33.67845917,71,3409,Arizona,Tucson
Gila,-111.2397537,34.43476486,71,3487,Arizona,Tucson
Gila,-110.8329544,34.30298233,71,3514,Arizona,Tucson
Gila,-111.2970505,34.43476486,71,3484,Arizona,Tucson
Gila,-111.3142395,34.4233017,71,3483,Arizona,Tucson
Gila,-111.1652679,34.38319778,71,3492,Arizona,Tucson
Gila,-111.016304,33.43209076,71,3404,Arizona,Tucson
Gila,-111.4001846,34.37746811,71,3472,Arizona,Tucson
Gila,-111.4689407,34.02796555,71,3432,Arizona,Tucson
Gila,-111.0678711,33.5123024,71,3407,Arizona,Tucson
Gila,-111.3371582,33.69564819,71,3417,Arizona,Tucson
Gila,-111.4517517,33.95347977,71,3428,Arizona,Tucson
Gila,-110.8272247,34.29152298,71,3513,Arizona,Tucson
Gila,-111.4001846,34.4233017,71,3477,Arizona,Tucson
Gila,-111.3887253,34.38892746,71,3474,Arizona,Tucson
Gila,-111.394455,34.400383,71,3475,Arizona,Tucson
Gila,-110.7756653,34.29725266,71,3521,Arizona,Tucson
Gila,-110.781395,34.31444168,71,3520,Arizona,Tucson
Gila,-110.8329544,34.31444168,71,3516,Arizona,Tucson
Gila,-110.9590073,33.27738953,71,3402,Arizona,Tucson
Gila,-111.3887253,33.75294495,71,3420,Arizona,Tucson
Gila,-111.1538162,34.37173843,71,3493,Arizona,Tucson
Gila,-110.0136261,33.47219467,71,3378,Arizona,Tucson
Gila,-111.4345627,33.98212814,71,3429,Arizona,Tucson
Gila,-111.6809387,34.32017136,71,3443,Arizona,Tucson
Gila,-110.752739,34.00504684,71,3375,Arizona,Tucson
Gila,-110.8444138,34.26860428,71,3511,Arizona,Tucson
Gila,-111.6981201,34.2399559,71,3440,Arizona,Tucson
Gila,-111.4173737,34.4462204,71,3463,Arizona,Tucson
Gila,-111.3887253,34.43476486,71,3478,Arizona,Tucson
Gila,-111.3772659,34.43476486,71,3479,Arizona,Tucson
Gila,-111.4001846,34.41184616,71,3476,Arizona,Tucson
Gila,-111.1366272,34.38892746,71,3495,Arizona,Tucson
Gila,-111.3887253,33.80450821,71,3422,Arizona,Tucson
Gila,-111.4632111,34.15401077,71,3437,Arizona,Tucson
Gila,-111.0621414,34.37746811,71,3501,Arizona,Tucson
Gila,-111.6007233,34.41184616,71,3447,Arizona,Tucson
Gila,-111.4001846,34.42903519,71,3465,Arizona,Tucson
Gila,-110.4490738,33.35760117,71,3384,Arizona,Tucson
Gila,-111.3314285,33.73002625,71,3418,Arizona,Tucson
Gila,-111.6465607,34.34309006,71,3444,Arizona,Tucson
Gila,-111.4861221,34.12536621,71,3436,Arizona,Tucson
Gila,-110.0078964,33.99931717,71,3376,Arizona,Tucson
Gila,-111.6809387,34.30298233,71,3442,Arizona,Tucson
Gila,-111.3772659,33.79305267,71,3421,Arizona,Tucson
Gila,-111.1423569,34.37746811,71,3494,Arizona,Tucson
Gila,-111.3486176,33.74721527,71,3419,Arizona,Tucson
Gila,-111.4173737,34.38319778,71,3471,Arizona,Tucson
Gila,-111.6866684,34.20558167,71,3439,Arizona,Tucson
Gila,-111.4059143,34.44049454,71,3464,Arizona,Tucson
Gila,-111.4345627,34.41184616,71,3469,Arizona,Tucson
Gila,-111.3715363,33.83315659,71,3423,Arizona,Tucson
Gila,-111.4231033,34.42903519,71,3467,Arizona,Tucson
Gila,-111.428833,34.38892746,71,3470,Arizona,Tucson
Gila,-111.411644,34.4233017,71,3466,Arizona,Tucson
Gila,-111.0678711,34.38319778,71,3500,Arizona,Tucson
Gila,-111.0850525,34.38319778,71,3499,Arizona,Tucson
Gila,-111.6694717,34.28006363,71,3441,Arizona,Tucson
Gila,-111.0965195,34.38892746,71,3498,Arizona,Tucson
Gila,-111.1251602,34.38892746,71,3496,Arizona,Tucson
Gila,-111.4345627,34.4233017,71,3468,Arizona,Tucson
Gila,-111.1137009,34.38892746,71,3497,Arizona,Tucson
Graham,-84.02426147,35.33430862,1896,56454,Arizona,Tucson
Graham,-100.1587524,39.14447784,886,26740,Arizona,Tucson
Graham,-99.6259079,39.56846237,886,26742,Arizona,Tucson
Graham,-83.64611053,35.43743896,1896,56430,Arizona,Tucson
Graham,-83.59454346,35.40306473,1896,56435,Arizona,Tucson
Graham,-83.61173248,35.42598343,1896,56431,Arizona,Tucson
Graham,-83.98415375,35.42598343,1896,56458,Arizona,Tucson
Graham,-110.0136261,33.47219467,72,3574,Arizona,Tucson
